Agencia,Cargo,count
San Francisco,Transit Operator,7036
San Francisco,Special Nurse,4389
San Francisco,Registered Nurse,3736
San Francisco,Public Svc Aide-Public Works,2518
San Francisco,Police Officer 3,2421
San Francisco,Custodian,2418
San Francisco,TRANSIT OPERATOR,2388
San Francisco,Firefighter,2359
San Francisco,Recreation Leader,1971
San Francisco,Patient Care Assistant,1945
San Francisco,Deputy Sheriff,1933
San Francisco,Police Officer,1476
San Francisco,SPECIAL NURSE,1402
San Francisco,Public Service Trainee,1328
San Francisco,REGISTERED NURSE,1219
San Francisco,Police Officer 2,1141
San Francisco,Attorney (Civil/Criminal),1126
San Francisco,Porter,1095
San Francisco,Sergeant 3,1047
San Francisco,General Laborer,1033
San Francisco,EMT/Paramedic/Firefighter,918
San Francisco,Gardener,894
San Francisco,Parking Control Officer,868
San Francisco,Senior Clerk,840
San Francisco,Library Page,799
San Francisco,CUSTODIAN,796
San Francisco,FIREFIGHTER,794
San Francisco,POLICE OFFICER III,779
San Francisco,Clerk,764
San Francisco,Eligibility Worker,760
San Francisco,Senior Clerk Typist,745
San Francisco,Licensed Vocational Nurse,707
San Francisco,RECREATION LEADER,692
San Francisco,DEPUTY SHERIFF,685
San Francisco,Nurse Practitioner,674
San Francisco,Stationary Engineer,660
San Francisco,Electrical Transit System Mech,631
San Francisco,PS Aide to Prof,627
San Francisco,Protective Services Worker,616
San Francisco,Senior Administrative Analyst,615
San Francisco,Transit Supervisor,613
San Francisco,Medical Evaluations Assistant,613
San Francisco,Museum Guard,606
San Francisco,Junior Clerk,596
San Francisco,Publ Svc Aide-Asst to Prof,574
San Francisco,"Lieutenant, Fire Suppression",572
San Francisco,Senior Eligibility Worker,571
San Francisco,Community Police Services Aide,559
San Francisco,MENTAL HEALTH REHABILITATION WORKER,559
San Francisco,School Crossing Guard,558
